age,gender,result_type,results,reach,impressions,cost_per_result,amount_spent_(usd),clicks_(all),ctr,ctr_class,weekday
2,0,1,4.0,2001,2026.0,0.32187439,1.28749758,24,0.1974333662388943,1,6
1,0,1,14.0,4033,4114.0,0.19533463,2.73468477,42,0.3403014098201264,2,6
6,0,1,1.0,140,140.0,0.12974782,0.12974782,6,0.7142857142857143,2,6
1,2,1,10.0,3978,4263.0,0.21857517,2.1857517,40,0.2345765892563922,2,6
4,2,1,1.0,107,121.0,0.07985005,0.07985005,4,0.8264462809917356,0,5
1,1,1,2.0,1168,1197.0,0.34934396,0.69868791,10,0.1670843776106934,1,5
2,0,1,8.0,1786,2146.0,0.18091026,1.4472821,30,0.3727865796831314,2,5
3,0,1,3.0,440,502.0,0.1364105,0.40923149,9,0.5976095617529881,2,5
2,2,1,4.0,1386,1394.0,0.17217666,0.68870665,13,0.2869440459110474,2,5
2,1,1,4.0,1002,1102.0,0.20212043,0.80848172,13,0.3629764065335753,2,5
1,0,1,9.0,3726,4047.0,0.32161824,2.8945642,42,0.2223869532987398,2,5
3,1,1,1.0,182,219.0,0.16968135,0.16968135,3,0.45662100456621,2,5
1,2,1,9.0,4752,4913.0,0.29389253,2.6450328,36,0.1831874618359454,1,5
2,2,1,1.0,1162,1295.0,0.7386064,0.7386064,7,0.0772200772200772,1,1
3,0,1,1.0,424,469.0,0.43917137,0.43917137,4,0.2132196162046908,2,1
1,2,1,11.0,4215,4541.0,0.25588084,2.81468927,39,0.2422373926447919,2,1
1,1,1,4.0,1213,1228.0,0.21209981,0.84839925,9,0.3257328990228013,2,1
1,0,1,11.0,2997,3419.0,0.23319637,2.56516008,32,0.3217315004387248,2,1
2,0,1,1.0,1764,1925.0,1.57702448,1.57702448,26,0.0519480519480519,1,1
4,1,1,2.0,71,75.0,0.02991751,0.05983501,3,2.666666666666667,0,3
3,2,1,2.0,301,301.0,0.08975252,0.17950504,7,0.6644518272425249,2,3
5,2,1,2.0,34,34.0,0.0099725,0.019945,2,5.88235294117647,0,3
4,2,1,1.0,139,157.0,0.06980752,0.06980752,5,0.6369426751592357,2,3
6,0,1,1.0,148,148.0,0.10969753,0.10969753,4,0.6756756756756757,2,3
3,0,1,1.0,515,590.0,0.4288176,0.4288176,8,0.1694915254237288,1,3
4,0,1,2.0,194,222.0,0.13961503,0.27923006,6,0.9009009009009008,0,3
1,0,1,7.0,4378,4649.0,0.4487626,3.14133822,34,0.1505700150570015,1,3
3,1,1,1.0,214,278.0,0.23934005,0.23934005,3,0.3597122302158274,2,3
2,1,1,4.0,1411,1411.0,0.20194317,0.80777269,12,0.2834868887313961,2,3
2,0,1,8.0,2131,2330.0,0.18199817,1.45598533,35,0.3433476394849785,2,3
1,2,1,7.0,4675,4949.0,0.33194186,2.32359303,35,0.1414427157001414,1,3
2,2,1,3.0,1363,1386.0,0.22604339,0.67813016,8,0.2164502164502164,2,3
1,1,1,6.0,1584,1584.0,0.15457379,0.92744271,16,0.3787878787878788,2,3
6,0,1,3.0,143,168.0,0.06308076,0.18924227,9,1.7857142857142856,0,2
1,0,1,13.0,4980,5390.0,0.32791779,4.26293121,56,0.2411873840445269,2,2
2,0,1,6.0,2371,2508.0,0.27722333,1.66333998,21,0.2392344497607655,2,2
2,1,1,2.0,687,717.0,0.22908275,0.4581655,8,0.2789400278940028,2,2
3,0,1,1.0,584,649.0,0.5079661,0.5079661,5,0.1540832049306625,1,2
1,2,1,4.0,3070,3234.0,0.38844467,1.55377866,20,0.1236858379715522,1,2
4,1,1,1.0,32,44.0,0.02988036,0.02988036,2,2.272727272727273,0,2
1,1,1,4.0,643,720.0,0.07968096,0.31872383,10,0.5555555555555556,2,2
1,0,1,3.0,1505,1595.0,0.30666667,0.92,12,0.1880877742946708,1,0
2,0,1,2.0,953,995.0,0.31,0.62,7,0.2010050251256281,1,0
2,0,1,2.0,1209,1274.0,0.54,1.08,19,0.1569858712715855,1,6
4,0,1,1.0,129,149.0,0.21,0.21,2,0.6711409395973155,2,6
2,1,1,1.0,546,613.0,0.44,0.44,10,0.1631321370309951,1,6
2,2,1,5.0,582,616.0,0.054,0.27,10,0.8116883116883116,0,6
1,0,1,10.0,1376,1468.0,0.143,1.43,16,0.6811989100817438,2,6
1,2,1,13.0,1536,1651.0,0.08538462,1.11,22,0.7874015748031495,0,6
1,1,1,2.0,423,445.0,0.18,0.36,8,0.449438202247191,2,6
5,0,1,2.0,52,52.0,0.025,0.05,2,3.8461538461538463,0,6
4,2,1,1.0,66,66.0,0.05,0.05,2,1.5151515151515151,0,6
4,1,1,1.0,52,53.0,0.06,0.06,3,1.8867924528301887,0,6
2,2,1,1.0,1359,1410.0,0.71780711,0.71780711,20,0.0709219858156028,1,5
6,1,1,1.0,55,59.0,0.07975635,0.07975635,2,1.694915254237288,0,5
1,1,1,1.0,725,811.0,0.55829442,0.55829442,4,0.1233045622688039,1,5
3,0,1,3.0,484,561.0,0.19606768,0.58820305,11,0.53475935828877,2,5
1,2,1,10.0,3099,3530.0,0.23627817,2.36278173,33,0.28328611898017,2,5
2,0,1,5.0,1933,2068.0,0.35491574,1.77457868,24,0.241779497098646,2,5
4,2,1,2.0,122,143.0,0.04984772,0.09969543,1,1.3986013986013983,0,5
1,0,1,6.0,2591,2740.0,0.35890355,2.15342132,35,0.218978102189781,2,5
6,0,1,3.0,118,163.0,0.04320135,0.12960406,3,1.8404907975460123,0,5
2,1,1,5.0,823,885.0,0.13159797,0.65798985,9,0.5649717514124294,2,5
2,1,1,2.0,989,1135.0,0.39,0.78,16,0.1762114537444934,1,1
4,0,1,1.0,207,224.0,0.23,0.23,4,0.4464285714285714,2,1
2,0,1,11.0,2391,2654.0,0.19363636,2.13,48,0.4144687264506406,2,1
1,2,1,10.0,3594,3832.0,0.204,2.04,42,0.2609603340292276,2,1
2,2,1,8.0,1438,1528.0,0.0775,0.62,42,0.5235602094240838,2,1
6,0,1,1.0,171,187.0,0.16,0.16,10,0.53475935828877,2,1
1,1,1,3.0,909,990.0,0.21,0.63,8,0.303030303030303,2,1
3,0,1,3.0,548,617.0,0.21333333,0.64,15,0.4862236628849271,2,1
1,0,1,13.0,3122,3399.0,0.22461538,2.92,38,0.3824654310091203,2,1
5,0,1,1.0,48,70.0,0.11,0.11,4,1.4285714285714286,0,1
2,1,1,7.0,1263,1263.0,0.14271695,0.99901865,18,0.5542359461599367,2,3
5,2,1,1.0,38,38.0,0.04995093,0.04995093,1,2.631578947368421,0,3
6,2,1,1.0,24,25.0,0.02997056,0.02997056,1,4.0,0,3
3,2,1,1.0,254,275.0,0.15984298,0.15984298,3,0.3636363636363636,2,3
1,0,1,3.0,2809,3030.0,0.68932287,2.0679686,32,0.099009900990099,1,3
1,1,1,5.0,1067,1203.0,0.15984298,0.79921492,11,0.4156275976724854,2,3
3,0,1,4.0,476,495.0,0.1448577,0.57943081,16,0.8080808080808081,0,3
2,2,1,3.0,1111,1225.0,0.23976447,0.71929342,13,0.2448979591836734,2,3
3,1,1,1.0,298,298.0,0.23976447,0.23976447,5,0.3355704697986577,2,3
4,0,1,5.0,202,221.0,0.05794308,0.28971541,13,2.262443438914027,0,3
1,2,1,8.0,3278,3478.0,0.2197841,1.75827282,36,0.230017251293847,2,3
5,0,1,2.0,91,91.0,0.0749264,0.1498528,4,2.197802197802198,0,3
2,0,1,10.0,1754,2002.0,0.17882434,1.78824338,30,0.4995004995004995,2,3
5,0,1,1.0,92,92.0,0.0698622,0.0698622,3,1.0869565217391304,0,2
4,1,1,1.0,67,84.0,0.09980315,0.09980315,1,1.1904761904761905,0,2
4,2,1,2.0,93,93.0,0.02495079,0.04990157,2,2.1505376344086025,0,2
2,1,1,3.0,857,1024.0,0.31604331,0.94812992,20,0.29296875,2,2
1,2,1,8.0,3239,3315.0,0.2345374,1.87629921,42,0.2413273001508295,2,2
3,0,1,3.0,486,502.0,0.17964567,0.53893701,12,0.5976095617529881,2,2
1,0,1,13.0,2856,2997.0,0.21419291,2.78450787,40,0.4337671004337671,2,2
2,0,1,8.0,1951,2054.0,0.19461614,1.55692913,31,0.3894839337877313,2,2
2,2,1,3.0,999,1083.0,0.22622047,0.67866142,17,0.2770083102493075,2,2
1,1,1,2.0,861,951.0,0.31437992,0.62875984,6,0.2103049421661409,2,2
4,0,1,1.0,217,225.0,0.25948819,0.25948819,6,0.4444444444444444,2,2
6,0,1,1.0,154,162.0,0.14,0.14,3,0.6172839506172839,2,0
3,1,1,2.0,238,279.0,0.185,0.37,5,0.7168458781362007,2,0
1,0,1,9.0,3808,4233.0,0.38888889,3.5,41,0.2126151665485471,2,0
2,1,1,2.0,1168,1185.0,0.6,1.2,17,0.1687763713080168,1,0
2,0,1,10.0,2052,2311.0,0.236,2.36,54,0.4327131112072695,2,0
4,0,1,3.0,254,271.0,0.09333333,0.28,7,1.107011070110701,0,0
1,2,1,1.0,134,149.0,0.11,0.11,2,0.6711409395973155,2,0
1,1,1,8.0,1522,1602.0,0.15875,1.27,21,0.4993757802746567,2,0
6,0,1,1.0,141,141.0,0.10988967,0.10988967,1,0.7092198581560284,2,4
5,0,1,2.0,67,101.0,0.03995988,0.07991976,7,1.98019801980198,0,4
2,0,1,10.0,2272,2536.0,0.22177733,2.21777332,38,0.3943217665615142,2,4
1,1,1,10.0,1875,1999.0,0.11888064,1.18880642,18,0.5002501250625313,2,4
1,0,1,18.0,5086,5284.0,0.22643932,4.07590772,63,0.3406510219530658,2,4
2,1,1,3.0,1031,1148.0,0.2996991,0.89909729,23,0.2613240418118467,2,4
3,0,1,3.0,642,658.0,0.17648947,0.52946841,16,0.4559270516717325,2,4
5,1,1,1.0,36,38.0,0.02996991,0.02996991,2,2.631578947368421,0,4
6,1,1,2.0,48,60.0,0.04994985,0.0998997,6,3.333333333333333,0,4
