"Campaign name",Age,Gender,Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result Type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)","Clicks (all)","Reporting starts","Reporting ends"
"31 December Engagement campaign",18-24,unknown,2024-12-29,completed,campaign,,"7-day click or 1-day view",,,12,21,,-,-,-,0.01998136,0,2024-12-29,2024-12-29
"31 December Engagement campaign",55-64,unknown,2024-12-29,completed,campaign,,"7-day click or 1-day view",,,1,1,,-,-,-,0,0,2024-12-29,2024-12-29
"31 December Engagement campaign",25-34,unknown,2024-12-29,completed,campaign,,"7-day click or 1-day view",,,4,8,,-,-,-,0,0,2024-12-29,2024-12-29
"31 December Engagement campaign",18-24,male,2024-12-29,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",8,3247,3458,0.27599254,-,-,-,2.20794035,28,2024-12-29,2024-12-29
"31 December Engagement campaign",25-34,male,2024-12-29,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,1095,1212,0.87917987,-,-,-,0.87917987,15,2024-12-29,2024-12-29
"31 December Engagement campaign",18-24,female,2024-12-29,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",18,6173,6571,0.25087708,-,-,-,4.51578751,60,2024-12-29,2024-12-29
"31 December Engagement campaign",45-54,male,2024-12-29,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",2,127,164,0.09491146,-,-,-,0.18982293,5,2024-12-29,2024-12-29
"31 December Engagement campaign",35-44,male,2024-12-29,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",1,225,315,0.26974837,-,-,-,0.26974837,4,2024-12-29,2024-12-29
"31 December Engagement campaign",25-34,female,2024-12-29,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",5,2084,2209,0.30571482,-,-,-,1.52857409,28,2024-12-29,2024-12-29
"31 December Engagement campaign",35-44,female,2024-12-29,completed,campaign,,"7-day click or 1-day view","Messaging conversations started",3,710,710,0.18982293,-,-,-,0.56946878,8,2024-12-29,2024-12-29
